task,input,output,possible_outputs
sentence_similarity,Sentence 1: A man plays a keyboard. Sentence 2: A person is playing the keyboard.,4 - almost perfectly,
sentence_similarity,Sentence 1: Two dogs are running in a grassy field Sentence 2: Two dogs running through a grassy field.,5 - perfectly,
sentence_similarity,Sentence 1: Barack Obama's personal evolution on same-sex marriage Sentence 2: Obama backs same-sex marriage,3 - probably,
sentence_similarity,Sentence 1: New UN peacekeeping chief named for Central African Republic Sentence 2: UN takes over peacekeeping in Central African Republic,2 - possibly,
sentence_similarity,Sentence 1: Four children looking at barn animals. Sentence 2: Children looking a sheep.,3 - probably,
sentence_similarity,"Sentence 1: Pakistani Taliban chief Hakimullah Mehsud killed in drone strike Sentence 2: Pakistani Taliban 'elect new chief', vow 'unprecedented' revenge",1 - probably not,
sentence_similarity,Sentence 1: A baby eats his food. Sentence 2: A baby is being fed peas.,3 - probably,
sentence_similarity,Sentence 1: Coty launches $10 billion bid for rival Avon Sentence 2: Coty bids $10 billion for Avon,5 - perfectly,
sentence_similarity,Sentence 1: 2 dead in Bangladesh clashes over Jamaat leader’s execution Sentence 2: Bangladesh Islamist leader executed,2 - possibly,
sentence_similarity,Sentence 1: A man is speaking. Sentence 2: A man is spitting.,1 - probably not,
sentence_similarity,Sentence 1: Juror: Sandusky appeared to accept his fate Sentence 2: Jerry Sandusky convicted of child sexual abuse,2 - possibly,
sentence_similarity,Sentence 1: The woman is dicing onions. Sentence 2: A woman is dancing in railway station.,0 - definitely not,
sentence_similarity,Sentence 1: A woman is cutting an onion. Sentence 2: A man is cutting onions.,3 - probably,
sentence_similarity,Sentence 1: Three dogs playing in the snow. Sentence 2: Three dogs run in the snow.,4 - almost perfectly,
sentence_similarity,Sentence 1: A woman is hitting a man. Sentence 2: A woman is taking a bath.,0 - definitely not,
sentence_similarity,Sentence 1: Syrian troops kill 35 in Damascus suburb Sentence 2: Activists: Syrian troops kill dozens near Damascus,4 - almost perfectly,
sentence_similarity,Sentence 1: A woman is bungee jumping. Sentence 2: A girl is bungee jumping.,4 - almost perfectly,
sentence_similarity,Sentence 1: The man is playing the keyboards. Sentence 2: A man is playing guitar.,2 - possibly,
sentence_similarity,Sentence 1: A man is playing a guitar. Sentence 2: A man is eating a banana.,1 - probably not,
sentence_similarity,Sentence 1: A woman is slicing some tuna. Sentence 2: A woman is cutting raw fish.,3 - probably,
sentence_similarity,Sentence 1: US Senator McCain meets opposition leaders in Ukraine Sentence 2: SFG meeting reviews situation in Mali,0 - definitely not,
sentence_similarity,Sentence 1: EU Set for New Sanctions on Iran Sentence 2: EU plans major new sanctions against Iran,4 - almost perfectly,
sentence_similarity,Sentence 1: A woman is slicing a big pepper. Sentence 2: A person is cutting a green pepper.,3 - probably,
sentence_similarity,Sentence 1: Five kittens are eating out of five dishes. Sentence 2: Kittens are eating food on trays.,3 - probably,
sentence_similarity,Sentence 1: North Korea Nuclear Test Sparks Worry Sentence 2: North Korea nuclear test,2 - possibly,
sentence_similarity,Sentence 1: The baby laughed in his car seat. Sentence 2: A baby is laughing.,3 - probably,
sentence_similarity,Sentence 1: Israel 'bombs' Syria as envoy presses peace talks bid Sentence 2: Fierce clashes in east Syria as US pushes peace talks,2 - possibly,
sentence_similarity,Sentence 1: An animal is biting a persons finger. Sentence 2: A slow loris is biting a persons finger.,3 - probably,
sentence_similarity,Sentence 1: Maldives begins to vote in controversy-ridden presidential poll Sentence 2: Crisis-hit Maldives holds new presidential poll,3 - probably,
sentence_similarity,Sentence 1: The lady stirred up raw eggs in the bowl. Sentence 2: A woman is pouring eyes into a bowl.,1 - probably not,
sentence_similarity,Sentence 1: Fire in Russian psychiatric hospital kills 38 Sentence 2: 38 feared dead in Russian psychiatric hospital fire,4 - almost perfectly,
sentence_similarity,Sentence 1: A man is eating a pizza. Sentence 2: A man is eating a food.,4 - almost perfectly,
sentence_similarity,"Sentence 1: A man eating an apple, sitting in public. Sentence 2: A man sits in a public place eating an apple.",5 - perfectly,
sentence_similarity,Sentence 1: Greece votes in crucial election Sentence 2: Greece looks set for repeat election,2 - possibly,
sentence_similarity,Sentence 1: A plane is landing. Sentence 2: A animated airplane is landing.,3 - probably,
sentence_similarity,Sentence 1: The man and woman are resting on a couch. Sentence 2: A man and woman are asleep on the couch.,4 - almost perfectly,
sentence_similarity,Sentence 1: An AeroMexico jet taxing along a runway. Sentence 2: A silver AreoMexico Jet Liner sitting on the tarmac.,3 - probably,
sentence_similarity,Sentence 1: A panda is climbing. Sentence 2: A man is climbing a rope.,2 - possibly,
sentence_similarity,Sentence 1: A man is playing the piano. Sentence 2: A man is playing a wooden flute.,1 - probably not,
sentence_similarity,Sentence 1: A white plane on the runway. Sentence 2: A white Swiss airplane approaches the runway.,4 - almost perfectly,
sentence_similarity,Sentence 1: A man is playing a guitar. Sentence 2: The girl is playing the guitar.,2 - possibly,
sentence_similarity,Sentence 1: A blue scooter parked on a sidewalk. Sentence 2: A blue moped parked on the sidewalk.,4 - almost perfectly,
sentence_similarity,Sentence 1: Brooks pleads not guilty to hacking charges Sentence 2: Dave Lee Travis pleads not guilty to all charges,1 - probably not,
sentence_similarity,Sentence 1: Suicide bomber kills 4 near NATO's Afghan HQ Sentence 2: Suicide bomber kills 23 at Afghan wedding,2 - possibly,
sentence_similarity,Sentence 1: Kids are dancing on stage. Sentence 2: Some people are dancing on stage.,3 - probably,
sentence_similarity,Sentence 1: Queen pays tribute to Nelson Mandela Sentence 2: US presidents pay tribute to Mandela,2 - possibly,
sentence_similarity,Sentence 1: man on steps Sentence 2: A man sits on steps.,4 - almost perfectly,
sentence_similarity,Sentence 1: A family is playing on the beach with their dog. Sentence 2: A naked little girl being thrown into the air.,0 - definitely not,
sentence_similarity,Sentence 1: Egypt's Coptic Pope Shenuda III dies Sentence 2: Egypt prepares to bury Coptic Pope Shenuda III,4 - almost perfectly,
sentence_similarity,Sentence 1: A man is riding a bicycle on a dirt path. Sentence 2: Two dogs running along dirt path.,2 - possibly,
sentence_similarity,Sentence 1: Scientists prove there is water on Mars Sentence 2: Has Nasa discovered water on Mars?,2 - possibly,
sentence_similarity,Sentence 1: Syrians trade blame over blasts Sentence 2: Israel braces for Arab protests,0 - definitely not,
sentence_similarity,Sentence 1: US drone strike kills 8 militants Sentence 2: US drone strike kills four in NWA: officials,2 - possibly,
sentence_similarity,Sentence 1: The man is riding a horse. Sentence 2: A woman is using a hoe.,0 - definitely not,
sentence_similarity,Sentence 1: Egyptian president moves into Mubarak's old office Sentence 2: Egypt's President-Elect Morsi Starts to Form Government,2 - possibly,
sentence_similarity,Sentence 1: A man is riding on a horse. Sentence 2: A woman is riding an elephant.,2 - possibly,
sentence_similarity,Sentence 1: Blond woman in a tunnel. Sentence 2: The couple kissing is near a blond woman.,2 - possibly,
sentence_similarity,Sentence 1: Residents near Gaza instructed to stay near shelter Sentence 2: Best’s great day brings West Indies cheer,0 - definitely not,
sentence_similarity,Sentence 1: The gate is blue. Sentence 2: The gate is yellow.,2 - possibly,
sentence_similarity,Sentence 1: A grey house with a red door. Sentence 2: House with a red door.,3 - probably,
sentence_similarity,Sentence 1: A man jumping his dirt bike. Sentence 2: A man on a bike jumping through the air.,4 - almost perfectly,
sentence_similarity,Sentence 1: A small dog laying on the bed. Sentence 2: A small dog is laying on a bed.,5 - perfectly,
active_to_passive,The professor mentioned the artist.,The artist was mentioned by the professor.,
active_to_passive,The presidents recommended the lawyer.,The lawyer was recommended by the presidents.,
active_to_passive,The professors thanked the tourists.,The tourists were thanked by the professors.,
active_to_passive,The scientist contacted the judge.,The judge was contacted by the scientist.,
active_to_passive,The doctor stopped the managers.,The managers were stopped by the doctor.,
active_to_passive,The author stopped the senator.,The senator was stopped by the author.,
active_to_passive,The authors mentioned the lawyer.,The lawyer was mentioned by the authors.,
active_to_passive,The actor believed the senators.,The senators were believed by the actor.,
active_to_passive,The judges contacted the athletes.,The athletes were contacted by the judges.,
active_to_passive,The judges helped the professor.,The professor was helped by the judges.,
active_to_passive,The authors supported the scientist.,The scientist was supported by the authors.,
active_to_passive,The judges avoided the students.,The students were avoided by the judges.,
active_to_passive,The banker advised the tourists.,The tourists were advised by the banker.,
active_to_passive,The presidents introduced the authors.,The authors were introduced by the presidents.,
active_to_passive,The senator introduced the bankers.,The bankers were introduced by the senator.,
active_to_passive,The doctors admired the student.,The student was admired by the doctors.,
active_to_passive,The artists introduced the manager.,The manager was introduced by the artists.,
active_to_passive,The student supported the tourist.,The tourist was supported by the student.,
active_to_passive,The professors stopped the senators.,The senators were stopped by the professors.,
active_to_passive,The judges mentioned the professor.,The professor was mentioned by the judges.,
active_to_passive,The bankers avoided the lawyer.,The lawyer was avoided by the bankers.,
active_to_passive,The tourist admired the authors.,The authors were admired by the tourist.,
active_to_passive,The actor stopped the senator.,The senator was stopped by the actor.,
active_to_passive,The senators recommended the artists.,The artists were recommended by the senators.,
active_to_passive,The tourists advised the president.,The president was advised by the tourists.,
active_to_passive,The actor recognized the manager.,The manager was recognized by the actor.,
active_to_passive,The authors contacted the doctors.,The doctors were contacted by the authors.,
active_to_passive,The tourists recommended the artists.,The artists were recommended by the tourists.,
active_to_passive,The bankers contacted the senators.,The senators were contacted by the bankers.,
active_to_passive,The artist admired the managers.,The managers were admired by the artist.,
active_to_passive,The senator mentioned the doctor.,The doctor was mentioned by the senator.,
active_to_passive,The president admired the managers.,The managers were admired by the president.,
active_to_passive,The scientists recommended the tourists.,The tourists were recommended by the scientists.,
active_to_passive,The authors stopped the manager.,The manager was stopped by the authors.,
active_to_passive,The actor recognized the professor.,The professor was recognized by the actor.,
active_to_passive,The judge avoided the banker.,The banker was avoided by the judge.,
active_to_passive,The tourists admired the judges.,The judges were admired by the tourists.,
active_to_passive,The athlete encouraged the scientists.,The scientists were encouraged by the athlete.,
active_to_passive,The manager believed the athletes.,The athletes were believed by the manager.,
active_to_passive,The senators admired the lawyers.,The lawyers were admired by the senators.,
active_to_passive,The senators mentioned the professors.,The professors were mentioned by the senators.,
active_to_passive,The manager believed the presidents.,The presidents were believed by the manager.,
active_to_passive,The students recommended the banker.,The banker was recommended by the students.,
active_to_passive,The judges supported the manager.,The manager was supported by the judges.,
active_to_passive,The athlete thanked the author.,The author was thanked by the athlete.,
active_to_passive,The tourist encouraged the managers.,The managers were encouraged by the tourist.,
active_to_passive,The banker advised the students.,The students were advised by the banker.,
active_to_passive,The managers stopped the student.,The student was stopped by the managers.,
active_to_passive,The students advised the tourists.,The tourists were advised by the students.,
active_to_passive,The secretary recommended the tourists.,The tourists were recommended by the secretary.,
active_to_passive,The president thanked the manager.,The manager was thanked by the president.,
active_to_passive,The actor recognized the senators.,The senators were recognized by the actor.,
active_to_passive,The presidents introduced the scientist.,The scientist was introduced by the presidents.,
active_to_passive,The secretaries recommended the students.,The students were recommended by the secretaries.,
active_to_passive,The presidents thanked the lawyers.,The lawyers were thanked by the presidents.,
active_to_passive,The secretaries believed the student.,The student was believed by the secretaries.,
active_to_passive,The artists recognized the author.,The author was recognized by the artists.,
active_to_passive,The athlete avoided the bankers.,The bankers were avoided by the athlete.,
active_to_passive,The artists admired the doctor.,The doctor was admired by the artists.,
active_to_passive,The student recommended the authors.,The authors were recommended by the student.,
active_to_passive,The athletes believed the authors.,The authors were believed by the athletes.,
active_to_passive,The scientist admired the tourist.,The tourist was admired by the scientist.,
active_to_passive,The presidents avoided the scientist.,The scientist was avoided by the presidents.,
active_to_passive,The professor mentioned the scientist.,The scientist was mentioned by the professor.,
active_to_passive,The doctor thanked the actors.,The actors were thanked by the doctor.,
active_to_passive,The doctor thanked the banker.,The banker was thanked by the doctor.,
active_to_passive,The senator recommended the athletes.,The athletes were recommended by the senator.,
active_to_passive,The athletes stopped the student.,The student was stopped by the athletes.,
active_to_passive,The student supported the professor.,The professor was supported by the student.,
active_to_passive,The manager advised the professors.,The professors were advised by the manager.,
active_to_passive,The doctor mentioned the tourist.,The tourist was mentioned by the doctor.,
active_to_passive,The senator contacted the judge.,The judge was contacted by the senator.,
active_to_passive,The lawyer recognized the judge.,The judge was recognized by the lawyer.,
active_to_passive,The tourists helped the manager.,The manager was helped by the tourists.,
active_to_passive,The athlete stopped the president.,The president was stopped by the athlete.,
active_to_passive,The athlete mentioned the scientists.,The scientists were mentioned by the athlete.,
active_to_passive,The tourists introduced the doctors.,The doctors were introduced by the tourists.,
active_to_passive,The manager mentioned the president.,The president was mentioned by the manager.,
active_to_passive,The lawyers stopped the manager.,The manager was stopped by the lawyers.,
active_to_passive,The lawyers recommended the authors.,The authors were recommended by the lawyers.,
active_to_passive,The secretary contacted the athletes.,The athletes were contacted by the secretary.,
active_to_passive,The manager avoided the scientists.,The scientists were avoided by the manager.,
active_to_passive,The president mentioned the secretaries.,The secretaries were mentioned by the president.,
active_to_passive,The senators stopped the professor.,The professor was stopped by the senators.,
active_to_passive,The professors avoided the artists.,The artists were avoided by the professors.,
active_to_passive,The professors thanked the lawyers.,The lawyers were thanked by the professors.,
active_to_passive,The tourist supported the secretaries.,The secretaries were supported by the tourist.,
active_to_passive,The senators introduced the artist.,The artist was introduced by the senators.,
active_to_passive,The senator avoided the judges.,The judges were avoided by the senator.,
active_to_passive,The student helped the president.,The president was helped by the student.,
active_to_passive,The manager believed the doctors.,The doctors were believed by the manager.,
active_to_passive,The actor recommended the artists.,The artists were recommended by the actor.,
active_to_passive,The tourist recommended the senator.,The senator was recommended by the tourist.,
active_to_passive,The student recommended the athletes.,The athletes were recommended by the student.,
active_to_passive,The judge contacted the managers.,The managers were contacted by the judge.,
active_to_passive,The banker recognized the tourists.,The tourists were recognized by the banker.,
active_to_passive,The tourist recommended the manager.,The manager was recommended by the tourist.,
active_to_passive,The tourist thanked the professors.,The professors were thanked by the tourist.,
active_to_passive,The president contacted the athletes.,The athletes were contacted by the president.,
active_to_passive,The doctors recognized the athletes.,The athletes were recognized by the doctors.,
sentiment,"...routine, harmless diversion and little else.",positive,
sentiment,"An occasionally funny, but overall limp, fish-out-of-water story.",negative,
sentiment,Unflinchingly bleak and desperate,negative,
sentiment,A woman's pic directed with resonance by Ilya Chaiken.,positive,
sentiment,"A tender, heartfelt family drama.",positive,
sentiment,"Like Leon, it's frustrating and still oddly likable.",positive,
sentiment,The film's performances are thrilling.,positive,
sentiment,A coarse and stupid gross-out.,negative,
sentiment,"An overemphatic, would-be wacky, ultimately tedious sex farce.",negative,
sentiment,Holden Caulfield did it better.,negative,
sentiment,Holm ... embodies the character with an effortlessly regal charisma.,positive,
sentiment,A quiet treasure -- a film to be savored.,positive,
sentiment,Do not see this film.,negative,
sentiment,"Crackerjack entertainment -- nonstop romance, music, suspense and action.",positive,
sentiment,An exquisitely crafted and acted tale.,positive,
sentiment,It all adds up to good fun.,positive,
sentiment,Detox is ultimately a pointless endeavor.,negative,
sentiment,It's a remarkably solid and subtly satirical tour de force.,positive,
sentiment,Overall very good for what it's trying to do.,positive,
sentiment,"A fast, funny, highly enjoyable movie.",positive,
sentiment,"An absurdist comedy about alienation, separation and loss.",negative,
sentiment,It treats women like idiots.,negative,
sentiment,Among the year's most intriguing explorations of alientation.,positive,
sentiment,"A smart, witty follow-up.",positive,
sentiment,"Dull, lifeless, and amateurishly assembled.",negative,
sentiment,More whiny downer than corruscating commentary.,negative,
sentiment,"A very well-made, funny and entertaining picture.",positive,
sentiment,A movie with a real anarchic flair.,positive,
sentiment,Rarely has so much money delivered so little entertainment.,negative,
sentiment,A wildly inconsistent emotional experience.,negative,
sentiment,It has all the excitement of eating oatmeal.,negative,
sentiment,Coughs and sputters on its own postmodern conceit.,negative,
sentiment,One of the most significant moviegoing pleasures of the year.,positive,
sentiment,Verbinski implements every hack-artist trick to give us the ooky-spookies.,negative,
sentiment,Funny but perilously slight.,positive,
sentiment,I just loved every minute of this film.,positive,
sentiment,One long string of cliches.,negative,
sentiment,I'm just too bored to care.,negative,
sentiment,Reggio's continual visual barrage is absorbing as well as thought-provoking.,positive,
sentiment,"A gorgeous, witty, seductive movie.",positive,
sentiment,As unseemly as its title suggests.,positive,
sentiment,A marvel like none you've seen.,positive,
sentiment,"So much facile technique, such cute ideas, so little movie.",positive,
sentiment,"Just as moving, uplifting and funny as ever.",positive,
sentiment,Directed in a paint-by-numbers manner.,negative,
sentiment,At once half-baked and overheated.,negative,
sentiment,"Complete lack of originality, cleverness or even visible effort",negative,
sentiment,Nervous breakdowns are not entertaining.,negative,
sentiment,Slick piece of cross-promotion.,positive,
sentiment,Plays like a volatile and overlong W magazine fashion spread.,negative,
sentiment,Collateral Damage finally delivers the goods for Schwarzenegger fans.,positive,
sentiment,"A warm but realistic meditation on friendship, family and affection.",positive,
sentiment,"Beautifully observed, miraculously unsentimental comedy-drama.",positive,
sentiment,There's not enough here to justify the almost two hours.,negative,
sentiment,A sometimes tedious film.,negative,
sentiment,The piquant story needs more dramatic meat on its bones.,negative,
sentiment,The Cold Turkey would've been a far better title.,negative,
sentiment,It's a charming and often affecting journey.,positive,
sentiment,The Wild Thornberrys Movie is a jolly surprise.,positive,
sentiment,A solid film...but more conscientious than it is truly stirring.,positive,
sentiment,Teen movies have really hit the skids.,negative,
sentiment,A painfully funny ode to bad behavior.,positive,
sentiment,Will amuse and provoke adventurous adults in specialty venues.,positive,
sentiment,A sequence of ridiculous shoot-'em-up scenes.,negative,
sentiment,It's made with deftly unsettling genre flair.,positive,
sentiment,As vulgar as it is banal.,negative,
sentiment,A solid examination of the male midlife crisis.,positive,
sentiment,It's a stunning lyrical work of considerable force and truth.,positive,
sentiment,"It is amusing, and that's all it needs to be.",positive,
sentiment,Falls neatly into the category of Good Stupid Fun.,positive,
sentiment,This is so bad.,negative,
sentiment,... the movie is just a plain old monster.,negative,
sentiment,"A warm, funny, engaging film.",positive,
sentiment,...a magnificent drama well worth tracking down.,positive,
sentiment,It's everything you don't go to the movies for.,negative,
sentiment,Jones ... does offer a brutal form of charisma.,positive,
sentiment,Enormously entertaining for moviegoers of any age.,positive,
sentiment,Too much of the humor falls flat.,negative,
sentiment,"The lower your expectations, the more you'll enjoy it.",negative,
sentiment,"Forced, familiar and thoroughly condescending.",negative,
sentiment,A sequel that's much too big for its britches.,negative,
sentiment,No way I can believe this load of junk.,negative,
sentiment,No telegraphing is too obvious or simplistic for this movie.,negative,
sentiment,Indifferently implausible popcorn programmer of a movie.,negative,
sentiment,Very psychoanalytical -- provocatively so -- and also refreshingly literary.,positive,
sentiment,"Trite, banal, cliched, mostly inoffensive.",negative,
sentiment,"Movie fans, get ready to take off...the other direction.",negative,
sentiment,"The film is quiet, threatening and unforgettable.",positive,
sentiment,"It proves quite compelling as an intense, brooding character study.",positive,
sentiment,Has all the depth of a wading pool.,negative,
sentiment,Nothing is sacred in this gut-buster.,negative,
sentiment,"An entertaining, colorful, action-filled crime story with an intimate heart.",positive,
sentiment,Rarely has leukemia looked so shimmering and benign.,negative,
sentiment,Not exactly the Bees Knees,negative,
sentiment,One from the heart.,positive,
sentiment,"It's dumb, but more importantly, it's just not scary.",negative,
sentiment,Chokes on its own depiction of upper-crust decorum.,negative,
sentiment,An unwise amalgam of Broadcast News and Vibes.,negative,
sentiment,Blanchett's performance confirms her power once again.,positive,
sentiment,Burns never really harnesses to full effect the energetic cast.,negative,
first_word_letter,place,p,
first_word_letter,family,f,
first_word_letter,point,p,
first_word_letter,east,e,
first_word_letter,service,s,
first_word_letter,run,r,
first_word_letter,site,s,
first_word_letter,wife,w,
first_word_letter,hurricane,h,
first_word_letter,league,l,
first_word_letter,section,s,
first_word_letter,surface,s,
first_word_letter,contract,c,
first_word_letter,fight,f,
first_word_letter,guitar,g,
first_word_letter,ball,b,
first_word_letter,model,m,
first_word_letter,press,p,
first_word_letter,culture,c,
first_word_letter,collection,c,
first_word_letter,foot,f,
first_word_letter,theory,t,
first_word_letter,invasion,i,
first_word_letter,quarter,q,
first_word_letter,agreement,a,
first_word_letter,personnel,p,
first_word_letter,northwest,n,
first_word_letter,editor,e,
first_word_letter,cricket,c,
first_word_letter,lap,l,
first_word_letter,description,d,
first_word_letter,camera,c,
first_word_letter,mountain,m,
first_word_letter,principal,p,
first_word_letter,regiment,r,
first_word_letter,corner,c,
first_word_letter,credit,c,
first_word_letter,suit,s,
first_word_letter,closing,c,
first_word_letter,boundary,b,
first_word_letter,armament,a,
first_word_letter,signal,s,
first_word_letter,affect,a,
first_word_letter,baby,b,
first_word_letter,fantasy,f,
first_word_letter,voting,v,
first_word_letter,reduction,r,
first_word_letter,document,d,
first_word_letter,inning,i,
first_word_letter,lighter,l,
first_word_letter,moon,m,
first_word_letter,explanation,e,
first_word_letter,diamond,d,
first_word_letter,custom,c,
first_word_letter,photograph,p,
first_word_letter,accordance,a,
first_word_letter,trap,t,
first_word_letter,performer,p,
first_word_letter,morale,m,
first_word_letter,calm,c,
first_word_letter,boom,b,
first_word_letter,afford,a,
first_word_letter,admission,a,
first_word_letter,timing,t,
first_word_letter,rendition,r,
first_word_letter,breach,b,
first_word_letter,servant,s,
first_word_letter,counterpart,c,
first_word_letter,drag,d,
first_word_letter,shed,s,
first_word_letter,cantata,c,
first_word_letter,choreography,c,
first_word_letter,rejection,r,
first_word_letter,vector,v,
first_word_letter,bite,b,
first_word_letter,fare,f,
first_word_letter,groove,g,
first_word_letter,clearance,c,
first_word_letter,precision,p,
first_word_letter,simplicity,s,
first_word_letter,characterization,c,
first_word_letter,glory,g,
first_word_letter,leisure,l,
first_word_letter,simpler,s,
first_word_letter,prequel,p,
first_word_letter,baseman,b,
first_word_letter,geography,g,
first_word_letter,flu,f,
first_word_letter,symbolism,s,
first_word_letter,distributor,d,
first_word_letter,judgement,j,
first_word_letter,conquer,c,
first_word_letter,strand,s,
first_word_letter,diversion,d,
first_word_letter,gateway,g,
first_word_letter,rhetoric,r,
first_word_letter,phosphate,p,
first_word_letter,cheating,c,
first_word_letter,fumble,f,
first_word_letter,promoter,p,
negation,Newton played as quarterback during Super Bowl 50.,Newton did not play as quarterback during Super Bowl 50.,
negation,Tucker plays as kicker with the Ravens.,Tucker does not play as kicker with the Ravens.,
negation,During Super Bowl 50 the Nintendo gaming company debuted their ad for the first time.,During Super Bowl 50 the Nintendo gaming company did not debut their ad for the first time.,
negation,The ad shown during the Super Bowl with the trailer of X-Men: Apocalypse was paid by Fox.,The ad shown during the Super Bowl with the trailer of X-Men: Apocalypse was not paid by Fox.,
negation,the Super Bowl in England will be carried by BBC.,the Super Bowl in England will not be carried by BBC.,
negation,Manning's top receiver for Super Bowl 50 was Sanders.,Manning's top receiver for Super Bowl 50 was not Sanders.,
negation,Nathan Alterman was a poet.,Nathan Alterman was not a poet.,
negation,The French spread along with their imperialism spread the Catholic religion.,The French spread along with their imperialism did not spread the Catholic religion.,
negation,Wales differs from other areas in the United Kingdom regarding education.,Wales does not differ from other areas in the United Kingdom regarding education.,
negation,Norman architecture has rounded arches.,Norman architecture has not rounded arches.,
negation,"At Westinghouse, Tesla's position was consultant.","At Westinghouse, Tesla's position was not consultant.",
negation,"In 1915, Edison received a bid.","In 1915, Edison did not receive a bid.",
negation,In a multiplication algorithm to produce the same outcome whether multiplying or squaring two integers the input would need to remain constant.,In a multiplication algorithm to produce the same outcome whether multiplying or squaring two integers the input would not need to remain constant.,
negation,A teacher is most likely teaching at a school.,A teacher is not most likely teaching at a school.,
