id,input
11762,"Given a string, you keep swapping any two characters in the string randomly till the string becomes a palindrome. What is the expected number of swaps you will make? There will always be at least one palindrome which can be formed with the letters of the given string.

Input: 

The first line contains the number of test cases T. Each of the next T lines contains a string each.

Output: 

Output T lines containing the answer for the corresponding test case. Print the answer correct to 4 decimal places.

Constraints: 

T <= 10000 

The length of the string will be at most 8 characters. 

The string will consist of only lower-case letters 'a'-'z'.

Sample Input:  

4  
b  
bb  
abb  
cbaabbb

Sample Output:  

0.0000  
0.0000  
3.0000  
59.3380

Explanation:

For the first two cases, the string is already a palindrome so no swaps are needed.

For the third case, there are 3 possible swaps. The string will become ""bab"",""bba"" or remain ""abb"" with 1/3rd probability each. It's easy to see that the expected number of swaps needed is 3.0000

For the last case, the answer is 59.337962..., which should be printed as 59.3380
"
12037,"You are given a fair coin and two integers X and N.

You repeatedly flip the coin and perform the following operation based on the result:
If it lands on heads, then X will increase by 1. However, if X = N then X will not change.
If it lands on tails, X will decrease by 1.

You stop as soon as the value of X becomes 1.

Find the expected number of coin flips.

Note that it is guaranteed that under the given constraints, the answer is an integer and does not exceed 2 \cdot 10^{18}

------ Input Format ------ 

- The first line contains a single integer T — the number of test cases. Then the test cases follow.
- The first and only line of each test case contains two space separated integers X and N.

------ Output Format ------ 

For each testcase, output the expected number of coin flips.

------ Constraints ------ 

$1 ≤ T ≤ 10^{5}$
$1 ≤ X ≤ N ≤ 10^{9}$

----- Sample Input 1 ------ 
4
1 3
2 2
12 12
568 57800
----- Sample Output 1 ------ 
0
2
132
65223144

----- explanation 1 ------ 
In the first test case, $X$ is already $1$. So, the expected number of coin flip in this case is $0$.

In the second test case, if the coin lands on head, $X$ will not change because $X$ is equal to $N$ here. Whenever the coin lands on tail, $X$ will decrease by $1$ and the game ends as $X$ becomes $1$. The expected number of coin flips to get the first tail is $2$. So, the answer for the case is $2$.
"
12872,"A recent lab accident resulted in the creation of an extremely dangerous virus that replicates so rapidly it's hard to predict exactly how many cells it will contain after a given period of time. However, a lab technician made the following observations about its growth per millisecond:

The probability of the number of virus cells growing by a factor of ${a}$ is $0.5$.
The probability of the number of virus cells growing by a factor of ${b}$ is $0.5$. 

Given ${a}$, ${b}$, and knowing that initially there is only a single cell of virus, calculate the expected number of virus cells after $\boldsymbol{\boldsymbol{t}}$ milliseconds. As this number can be very large, print your answer modulo $(10^9+7)$.

Input Format

A single line of three space-separated integers denoting the respective values of ${a}$ (the first growth factor), ${b}$ (the second growth factor), and ${t}}$ (the time you want to know the expected number of cells for).

Constraints

$1\leq t\leq10^{18}$  
$1\leq a,b\leq100$  
it is guaranteed that expected value is integer

Output Format

Print the expected number of virus cells after $\boldsymbol{\boldsymbol{t}}$ milliseconds modulo $(10^9+7)$.

Sample Input
2 4 1

Sample Output
3

Explanation

Initially, the virus has one cell. After a millisecond, with probability $0.5$, its size is doubled and, with probability of the other $0.5$ in the sample space, its size grows by ${4}$ times. Thus, the expected number of virus cell after ${1}$ millisecond is $0.5\cdot2\cdot1+0.5\cdot4\cdot1=3\%\ (10^9+7)=3$. Thus, we print $3$ on a new line.
"
14892,"Logan is cleaning his apartment. In particular, he must sort his old favorite sequence, ${P}$, of $N$ positive integers in nondecreasing order. He's tired from a long day, so he invented an easy way (in his opinion) to do this job. His algorithm can be described by the following pseudocode:

while isNotSorted(P) do {   
    WaitOneMinute();
    RandomShuffle(P)
}

Can you determine the expected number of minutes that Logan will spend waiting for ${P}$ to be sorted?

Input Format

The first line contains a single integer, $N$, denoting the size of permutation ${P}$. 

The second line contains $N$ space-separated integers describing the respective elements in the sequence's current order, $P_0,P_1,\ldots,P_{N-1}$.

Constraints

$2\leq N\leq18$
$1\leq P_i\leq100$

Output Format

Print the expected number of minutes Logan must wait for ${P}$ to be sorted, correct to  ${6}$ decimal places.

Sample Input
2
5 2

Sample Output
2.000000

Explanation

There are two permutations possible after a random shuffle, and each of them has probability $0.5$. The probability to get the sequence sorted after the first minute is $0.5$. The probability that ${P}$ will be sorted after the second minute is ${0.25}$, the probability ${P}$ will be sorted after the third minute is ${0.125}$, and so on. So, the answer is equal to the following sum: $\sum_{i=1}^{\infty}i\times2^{-i}=2$
"
16260,"After playing the game of stones and board chandu decide to put all the games in the boxes and sleep. But, he is afraid that you will go to market without taking him along with you. So, he decide to indulge you in a task.

Clever chandu has N boxes, N keys and N locks (1 key corresponding to each lock). He put all locks on all the boxes. Shuffled all the keys that are with him and slipped them into the box(Those were piggy bank like boxes).

Now, obviously, No one will be able to any of his box not even him without keys. But he has prepared a few bombs which can be used to break the locks. One bomb can be used to break exactly one lock. He asks you what is the probability that he will be able to open all boxes if he has M bombs.

Input: 

First line of input contains t which is the number of test cases. Each test case contains exactly one line having 2 integers N and M.

Output:

Print the probability that he will be able to open all boxes in a/b format. Note that a/b is in minimal fraction form.

Constraints:

1 ≤ N ≤ 20, 

1 ≤ M ≤ N

SAMPLE INPUT
3
2 1
2 2
3 1

SAMPLE OUTPUT
1/2
1/1
1/3

Explanation

Test case 1: When box 1 contains key 2, you can get all the keys 
Test case 2: When N=M, you can always get all the keys 
Test case 3: There are 6 possible configurations of keys in boxes. Using 1 bomb, you can open all the boxes in 2 of them:
box 1 - key 2, box 2 - key 3, box 3 - key 1;
box 1 - key 3, box 2 - key 1, box 3 - key 2.
"
17293,"As usual Gary and Flo are sitting at their favourite burger restaurant called Jim's Burgers. They want to treat themselves with delicious burger after an interesting day with lots of competitive programming. So they have ordered their burgers and are waiting for them. But with nothing to do, they get bored and decide to play a game.

The game is played on a sheet of paper with $n$ rows and $m$ columns and goes as follows: 

Flo places his white lotus tile somewhere at the top row and Gary places a caterpillar tile somewhere on the bottom row. Flo begins the game and their turns alternate. Flo can move his tile to any of the 8 adjacent cells, while Gary's caterpillar tile can only move  left or right, or stay at the same cell. Of course, they cannot step outside of the grid. Flo's goal is to catch Gary as fast as possible, that is, with the minimum number of moves, while Gary (with the caterpillar tile) has to survive for as long as possible.  

Now they are wondering: If they place their tiles in the corresponding rows and some random columns, what is the expected number of moves Flo has to make to win the game (assuming they will play optimally)? 

Can you help them answer this question?

Constraints

$2\leq n,m\leq5000$

Input Format

You will be given two space separated integers $n$ and $m$, denoting the number of rows and the number of columns on the board respectively. 

Output Format

Output the answer in one line. 

Note: The answer will be considered valid if it differs from the correct answer by at most $\mathbf{10^{-6}}$.

Sample input

2 3

Sample output

1.2222222

Consider the pair $(x,y)$ as the starting column of the lotus and the starting column of the caterpillar respectively. 

For $n=2$ and $m=3$ we get the following scenario. 

$(1,1),(1,2),(2,1),(2,2),(2,3),(3,2),(3,3)$ will lead to 1 move. 
The remaining pairs $(1,3)$ and $(3,1)$ will lead to 2 moves. So the expected value  is $\frac{1+1+1+1+1+1+1+2+2}{9}=1.222..$
"
18957,"A competition is being held between two teams: A and B. Team A has N players numbered from 1 to N. Team B has M players numbered from 1 to M.

The competition requires certain number of matches to be played. In each match, one person from each of the teams goes against one another, until one of them is defeated. The loser is then replaced by another player from his/her team. The team that fails to replace its player (means all players have already lost), loses the competition and no more matches are held.

To be more clear, the players in each team line up to play in their order. That means the first match will be always between the player number 1 in team A and the player number 1 in team B. After the first match, if the player number 1 in team A loses, then he/she will be replaced by the player number 2 in his team, i.e, the second match will be between player number 2 in team A and player number 1 in team B (in case team A has more than one player). Otherwise, the second match will be between player number 1 in team A and player number 2 in team B (in case team B has more than one player). And the two teams keep competing based on that rule until one team has all its players lost.

Given the probability of a player beating another, can you find the expected number of matches that will be played?

Input:
The first line of input file contains T, the number of test cases.
Each test case starts with two space-separated integers, N and M, denoting the number of players on team A and team B, respectively.
Each of the next N lines contains M decimal numbers, separated by a single space. The j^th decimal number on i^th line denotes the probability that the player number i of team A shall defeat the player number j of team B. All the decimal numbers only contain up to 2 digits after the decimal point.

Output:
Output exactly T numbers, each denoting the expected number of matches to be held in scenario of the corresponding test case. Print the answer upto 6 digits after decimal point. As, Hacker-Earth uses exact matching, you should ensure to print exactly 6 places.

Constraints:
1 ≤ T ≤ 3
1 ≤ N, M ≤ 1000

SAMPLE INPUT
1
2 2
0.5 0.5
0.5 0.5

SAMPLE OUTPUT
2.500000

Explanation

Possibilities are as follows: 
- 1A def 1B, 1A def 2B: Probability is 0.5 * 0.5 = 0.25 and number of matches is 2.
- 1A def 1B, 2B def 1A, 2B def 2A: Probability is 0.5 * 0.5 * 0.5=0.125 and number of matches is 3
- 1A def 1B, 2B def 1A, 2A def 2B: Probability is 0.5 * 0.5 * 0.5=0.125 and number of matches is 3
- 1B def 1A, 1B def 2A: Probability is 0.5 * 0.5 = 0.25 and number of matches is 2.
- 1B def 1A, 2A def 1B, 2A def 2B: Probability is 0.5 * 0.5 * 0.5=0.125 and number of matches is 3
- 1B def 1A, 2A def 1B, 2B def 2A: Probability is 0.5 * 0.5 * 0.5=0.125 and number of matches is 3
Thus final answer is:

0.25 * 2 + 0.125 * 3 + 0.125 * 3 + 0.25 * 2 + 0.125 * 3 + 0.125 * 3 = 2.5
"
19196,"My flatmate, Sayan, went to the game show called Takeshi's castle. It is a game show in which you need to pass different game challenges to enter the final. Now the most famous round of all of them is the ""skipping stones"".In the game you need to go from one end of a small puddle to the other end of it stepping on stones.Some of the stones are fixed while others sink as soon as you step on them. Now Sayan managd to bribe the gaurd and gather the information regarding each of the stones in the puddle. So he now knows the probability p of each stone staying stationary, i.e, the probability of stepping on a stone and not sinking is p.

Now, as common sense suggests, Sayan can cross the puddle only if he steps on stationary stones only. But Sayan, being a human being, has a fixed span of distance(L) which he can jump at once.You need to find out and inform Sayan the best probability of him crossing the puddle without sinking.

Note: He can jump from one stone to another only if it is within L metres of distance.

INPUT

The first line of input contains three numbers n, L and D , the number of stones in the puddle, the span of Sayan's jump, and length of the puddle respectively.
The next line contains n space separated floating point numbers, with ith number denoting the probability p of the ith stone being stationary.(1 ≤ i ≤ n).
The next line contains the distance d of the stones from the starting point in serial order, i.e, from 1 to n.

OUTPUT

Print one floating point number containing the answer of the problem exact to 6 decimals.
if no such answer is possible print ""IMPOSSIBLE"" without the quotes.

CONSTRAINTS

0.0 ≤ p ≤ 1.0

1 ≤ n ≤ 1000

1 ≤ d ≤ D ≤ 10000

1 ≤ L ≤ 10000

SAMPLE INPUT
5 3 10
0.5 0.4 0.6 0.8 1.0
2 3 5 6 8

SAMPLE OUTPUT
0.320000

Explanation

The best jump will be to jump from start to 2nd stone(with p=0.4), them to 4th stone(with p=0.8), then to 5th stone(with p=1.0) and finally to the end of the puddle.
"
20623,"Given 2n balls of k distinct colors. You will be given an integer array balls of size k where balls[i] is the number of balls of color i. 
All the balls will be shuffled uniformly at random, then we will distribute the first n balls to the first box and the remaining n balls to the other box (Please read the explanation of the second example carefully).
Please note that the two boxes are considered different. For example, if we have two balls of colors a and b, and two boxes [] and (), then the distribution [a] (b) is considered different than the distribution [b] (a) (Please read the explanation of the first example carefully).
We want to calculate the probability that the two boxes have the same number of distinct balls.
 
Example 1:
Input: balls = [1,1]
Output: 1.00000
Explanation: Only 2 ways to divide the balls equally:
- A ball of color 1 to box 1 and a ball of color 2 to box 2
- A ball of color 2 to box 1 and a ball of color 1 to box 2
In both ways, the number of distinct colors in each box is equal. The probability is 2/2 = 1

Example 2:
Input: balls = [2,1,1]
Output: 0.66667
Explanation: We have the set of balls [1, 1, 2, 3]
This set of balls will be shuffled randomly and we may have one of the 12 distinct shuffles with equale probability (i.e. 1/12):
[1,1 / 2,3], [1,1 / 3,2], [1,2 / 1,3], [1,2 / 3,1], [1,3 / 1,2], [1,3 / 2,1], [2,1 / 1,3], [2,1 / 3,1], [2,3 / 1,1], [3,1 / 1,2], [3,1 / 2,1], [3,2 / 1,1]
After that we add the first two balls to the first box and the second two balls to the second box.
We can see that 8 of these 12 possible random distributions have the same number of distinct colors of balls in each box.
Probability is 8/12 = 0.66667

Example 3:
Input: balls = [1,2,1,2]
Output: 0.60000
Explanation: The set of balls is [1, 2, 2, 3, 4, 4]. It is hard to display all the 180 possible random shuffles of this set but it is easy to check that 108 of them will have the same number of distinct colors in each box.
Probability = 108 / 180 = 0.6

Example 4:
Input: balls = [3,2,1]
Output: 0.30000
Explanation: The set of balls is [1, 1, 1, 2, 2, 3]. It is hard to display all the 60 possible random shuffles of this set but it is easy to check that 18 of them will have the same number of distinct colors in each box.
Probability = 18 / 60 = 0.3

Example 5:
Input: balls = [6,6,6,6,6,6]
Output: 0.90327

 
Constraints:

1 <= balls.length <= 8
1 <= balls[i] <= 6
sum(balls) is even.
Answers within 10^-5 of the actual value will be accepted as correct.
class Solution:
    def getProbability(self, balls: List[int]) -> float:
        "
22107,"This time, there will be no unnecessary information in the problem statement.

Given an array(A) of N integers, find the probability that sum of any selected triplet is a cube of an integer number.

A triplet is a set of any three indices. Two triplets with same indices but in different order are considered same (Ex: triplets with indices {2,4,5} and {2,5,4} are same).

Cube of a number x is x * x * x.

Input:

First line has an integer T=number of test cases.
Each test case has two lines.
First line of test case has an integer N=numbers in the array.
Second line of test case has an array of N integers.

Output:

Print answer for each test case in a separate lines with exactly 9 decimal digits.  

Constraints:

1 ≤ T ≤ 40
3 ≤ N ≤ 500
1 ≤ Ai ≤ 2000  

SAMPLE INPUT
2
4
2 3 4 6
4
1 1 6 25

SAMPLE OUTPUT
0.000000000
0.500000000

Explanation

Case #1 : No triplet sum could be cube of an integer.

Case #2 : We can form 4 triplets.

Indices        Values       Sum  
{1,2,3}        {1,1, 6}    1+1+6 = 8  
{1,2,4}        {1,1,25}    1+1+25 = 27  
{1,3,4}        {1,6,25}    1+6+25 = 32
{2,3,4}        {1,6,25}    1+6+25 = 32

Out of 4 resulting sums, 2 are cube of a number and therefore probability is 2/4.
"
25192,"There are two types of soup: type A and type B. Initially we have N ml of each type of soup. There are four kinds of operations:

Serve 100 ml of soup A and 0 ml of soup B
Serve 75 ml of soup A and 25 ml of soup B
Serve 50 ml of soup A and 50 ml of soup B
Serve 25 ml of soup A and 75 ml of soup B

When we serve some soup, we give it to someone and we no longer have it.  Each turn, we will choose from the four operations with equal probability 0.25. If the remaining volume of soup is not enough to complete the operation, we will serve as much as we can.  We stop once we no longer have some quantity of both types of soup.
Note that we do not have the operation where all 100 ml's of soup B are used first.  
Return the probability that soup A will be empty first, plus half the probability that A and B become empty at the same time.
 
Example:
Input: N = 50
Output: 0.625
Explanation: 
If we choose the first two operations, A will become empty first. For the third operation, A and B will become empty at the same time. For the fourth operation, B will become empty first. So the total probability of A becoming empty first plus half the probability that A and B become empty at the same time, is 0.25 * (1 + 1 + 0.5 + 0) = 0.625.


Notes: 

0 <= N <= 10^9. 
Answers within 10^-6 of the true value will be accepted as correct.
class Solution:
    def soupServings(self, N: int) -> float:
        "
