,task,input,output
452,active_to_passive,The athlete mentioned the secretaries.,The secretaries were mentioned by the athlete.
201,active_to_passive,The doctors thanked the secretaries.,The secretaries were thanked by the doctors.
803,active_to_passive,The banker recommended the tourists.,The tourists were recommended by the banker.
40,active_to_passive,The tourists recognized the lawyer.,The lawyer was recognized by the tourists.
77,active_to_passive,The scientists recognized the managers.,The managers were recognized by the scientists.
659,active_to_passive,The professor avoided the student.,The student was avoided by the professor.
671,active_to_passive,The actor contacted the athlete.,The athlete was contacted by the actor.
668,active_to_passive,The manager admired the artist.,The artist was admired by the manager.
786,active_to_passive,The actors recognized the scientist.,The scientist was recognized by the actors.
497,active_to_passive,The secretaries recognized the manager.,The manager was recognized by the secretaries.
689,active_to_passive,The tourist recommended the secretary.,The secretary was recommended by the tourist.
768,active_to_passive,The doctors helped the secretaries.,The secretaries were helped by the doctors.
766,active_to_passive,The banker thanked the authors.,The authors were thanked by the banker.
273,active_to_passive,The actor advised the bankers.,The bankers were advised by the actor.
658,active_to_passive,The managers admired the artist.,The artist was admired by the managers.
263,active_to_passive,The judge encouraged the tourists.,The tourists were encouraged by the judge.
664,active_to_passive,The artists contacted the scientists.,The scientists were contacted by the artists.
29,active_to_passive,The judge stopped the lawyer.,The lawyer was stopped by the judge.
286,active_to_passive,The athlete supported the secretaries.,The secretaries were supported by the athlete.
215,active_to_passive,The banker contacted the tourist.,The tourist was contacted by the banker.
208,active_to_passive,The doctor introduced the tourist.,The tourist was introduced by the doctor.
440,active_to_passive,The scientists encouraged the author.,The author was encouraged by the scientists.
308,active_to_passive,The judge contacted the banker.,The banker was contacted by the judge.
464,active_to_passive,The actor avoided the banker.,The banker was avoided by the actor.
473,active_to_passive,The students mentioned the tourists.,The tourists were mentioned by the students.
540,active_to_passive,The author admired the manager.,The manager was admired by the author.
640,active_to_passive,The senators believed the scientist.,The scientist was believed by the senators.
270,active_to_passive,The doctor avoided the artist.,The artist was avoided by the doctor.
262,active_to_passive,The scientist recognized the student.,The student was recognized by the scientist.
561,active_to_passive,The actor recommended the scientists.,The scientists were recommended by the actor.
11,active_to_passive,The tourist contacted the bankers.,The bankers were contacted by the tourist.
489,active_to_passive,The banker encouraged the lawyers.,The lawyers were encouraged by the banker.
150,active_to_passive,The secretaries introduced the doctors.,The doctors were introduced by the secretaries.
184,active_to_passive,The tourist supported the athlete.,The athlete was supported by the tourist.
261,active_to_passive,The lawyers avoided the author.,The author was avoided by the lawyers.
324,active_to_passive,The judge admired the managers.,The managers were admired by the judge.
69,active_to_passive,The artist helped the senators.,The senators were helped by the artist.
240,active_to_passive,The artists admired the professor.,The professor was admired by the artists.
805,active_to_passive,The managers believed the actor.,The actor was believed by the managers.
319,active_to_passive,The tourists supported the president.,The president was supported by the tourists.
167,active_to_passive,The tourist believed the athlete.,The athlete was believed by the tourist.
417,active_to_passive,The actors contacted the judges.,The judges were contacted by the actors.
34,active_to_passive,The senator supported the managers.,The managers were supported by the senator.
697,active_to_passive,The tourist thanked the senators.,The senators were thanked by the tourist.
395,active_to_passive,The scientists avoided the lawyer.,The lawyer was avoided by the scientists.
648,active_to_passive,The judge supported the athlete.,The athlete was supported by the judge.
345,active_to_passive,The presidents contacted the professor.,The professor was contacted by the presidents.
728,active_to_passive,The president supported the actor.,The actor was supported by the president.
475,active_to_passive,The tourist admired the athletes.,The athletes were admired by the tourist.
599,active_to_passive,The scientist recognized the author.,The author was recognized by the scientist.
419,active_to_passive,The students introduced the presidents.,The presidents were introduced by the students.
745,active_to_passive,The athlete contacted the presidents.,The presidents were contacted by the athlete.
793,active_to_passive,The athletes encouraged the tourist.,The tourist was encouraged by the athletes.
421,active_to_passive,The secretaries supported the president.,The president was supported by the secretaries.
820,active_to_passive,The scientists helped the senator.,The senator was helped by the scientists.
149,active_to_passive,The doctors mentioned the artists.,The artists were mentioned by the doctors.
789,active_to_passive,The secretaries advised the scientists.,The scientists were advised by the secretaries.
799,active_to_passive,The lawyers thanked the authors.,The authors were thanked by the lawyers.
763,active_to_passive,The authors introduced the student.,The student was introduced by the authors.
825,active_to_passive,The senator supported the actors.,The actors were supported by the senator.
211,active_to_passive,The bankers thanked the professors.,The professors were thanked by the bankers.
605,active_to_passive,The banker introduced the tourist.,The tourist was introduced by the banker.
199,active_to_passive,The managers avoided the senator.,The senator was avoided by the managers.
398,active_to_passive,The judge mentioned the manager.,The manager was mentioned by the judge.
250,active_to_passive,The judge introduced the professor.,The professor was introduced by the judge.
662,active_to_passive,The bankers contacted the doctor.,The doctor was contacted by the bankers.
665,active_to_passive,The judge admired the bankers.,The bankers were admired by the judge.
490,active_to_passive,The professors supported the scientist.,The scientist was supported by the professors.
790,active_to_passive,The professor contacted the lawyer.,The lawyer was contacted by the professor.
32,active_to_passive,The scientist mentioned the judge.,The judge was mentioned by the scientist.
336,active_to_passive,The president encouraged the judges.,The judges were encouraged by the president.
629,active_to_passive,The artists recognized the scientist.,The scientist was recognized by the artists.
731,active_to_passive,The professor stopped the senators.,The senators were stopped by the professor.
59,active_to_passive,The senators introduced the banker.,The banker was introduced by the senators.
343,active_to_passive,The professors supported the banker.,The banker was supported by the professors.
741,active_to_passive,The professors avoided the students.,The students were avoided by the professors.
178,active_to_passive,The manager stopped the actors.,The actors were stopped by the manager.
58,active_to_passive,The doctor encouraged the scientist.,The scientist was encouraged by the doctor.
569,active_to_passive,The secretary mentioned the artist.,The artist was mentioned by the secretary.
818,active_to_passive,The senator believed the judges.,The judges were believed by the senator.
476,active_to_passive,The author recommended the artists.,The artists were recommended by the author.
568,active_to_passive,The tourists mentioned the artist.,The artist was mentioned by the tourists.
73,active_to_passive,The athlete introduced the president.,The president was introduced by the athlete.
92,active_to_passive,The actors stopped the manager.,The manager was stopped by the actors.
740,active_to_passive,The lawyer admired the actor.,The actor was admired by the lawyer.
539,active_to_passive,The manager helped the secretary.,The secretary was helped by the manager.
657,active_to_passive,The senator mentioned the professor.,The professor was mentioned by the senator.
886,active_to_passive,The presidents thanked the bankers.,The bankers were thanked by the presidents.
674,active_to_passive,The artist thanked the actors.,The actors were thanked by the artist.
778,active_to_passive,The president thanked the actors.,The actors were thanked by the president.
641,active_to_passive,The artists encouraged the professor.,The professor was encouraged by the artists.
442,active_to_passive,The senators recommended the tourists.,The tourists were recommended by the senators.
549,active_to_passive,The students introduced the tourists.,The tourists were introduced by the students.
683,active_to_passive,The students supported the managers.,The managers were supported by the students.
109,active_to_passive,The athletes admired the students.,The students were admired by the athletes.
564,active_to_passive,The lawyer mentioned the actors.,The actors were mentioned by the lawyer.
570,active_to_passive,The secretaries avoided the student.,The student was avoided by the secretaries.
154,active_to_passive,The doctors stopped the actor.,The actor was stopped by the doctors.
878,active_to_passive,The athletes admired the actor.,The actor was admired by the athletes.
709,active_to_passive,The scientist contacted the president.,The president was contacted by the scientist.
847,active_to_passive,The authors advised the president.,The president was advised by the authors.
445,active_to_passive,The doctors recommended the manager.,The manager was recommended by the doctors.
304,active_to_passive,The judge introduced the bankers.,The bankers were introduced by the judge.
116,active_to_passive,The manager recognized the secretaries.,The secretaries were recognized by the manager.
524,active_to_passive,The lawyers advised the senator.,The senator was advised by the lawyers.
832,active_to_passive,The actor advised the managers.,The managers were advised by the actor.
751,active_to_passive,The actor introduced the authors.,The authors were introduced by the actor.
289,active_to_passive,The author introduced the banker.,The banker was introduced by the author.
288,active_to_passive,The secretary recommended the scientists.,The scientists were recommended by the secretary.
123,active_to_passive,The doctor believed the artists.,The artists were believed by the doctor.
18,active_to_passive,The athletes helped the managers.,The managers were helped by the athletes.
52,active_to_passive,The artist advised the professor.,The professor was advised by the artist.
314,active_to_passive,The senator introduced the lawyer.,The lawyer was introduced by the senator.
12,active_to_passive,The president introduced the senators.,The senators were introduced by the president.
258,active_to_passive,The authors thanked the senators.,The senators were thanked by the authors.
78,active_to_passive,The scientist encouraged the banker.,The banker was encouraged by the scientist.
351,active_to_passive,The actor thanked the senators.,The senators were thanked by the actor.
787,active_to_passive,The artist encouraged the student.,The student was encouraged by the artist.
15,active_to_passive,The lawyer thanked the presidents.,The presidents were thanked by the lawyer.
534,active_to_passive,The artist admired the professors.,The professors were admired by the artist.
416,active_to_passive,The student introduced the judge.,The judge was introduced by the student.
143,active_to_passive,The actor advised the senator.,The senator was advised by the actor.
214,active_to_passive,The judge supported the senator.,The senator was supported by the judge.
372,active_to_passive,The senators recognized the actor.,The actor was recognized by the senators.
429,active_to_passive,The artists believed the athlete.,The athlete was believed by the artists.
650,active_to_passive,The actors avoided the authors.,The authors were avoided by the actors.
2,active_to_passive,The judges believed the bankers.,The bankers were believed by the judges.
545,active_to_passive,The judge encouraged the banker.,The banker was encouraged by the judge.
711,active_to_passive,The professor believed the senator.,The senator was believed by the professor.
515,active_to_passive,The bankers encouraged the athlete.,The athlete was encouraged by the bankers.
237,active_to_passive,The students helped the author.,The author was helped by the students.
23,active_to_passive,The senator avoided the bankers.,The bankers were avoided by the senator.
56,active_to_passive,The authors contacted the secretaries.,The secretaries were contacted by the authors.
376,active_to_passive,The scientist avoided the tourist.,The tourist was avoided by the scientist.
142,active_to_passive,The managers contacted the scientist.,The scientist was contacted by the managers.
754,active_to_passive,The doctor recognized the actor.,The actor was recognized by the doctor.
491,active_to_passive,The banker helped the senator.,The senator was helped by the banker.
492,active_to_passive,The actor supported the managers.,The managers were supported by the actor.
543,active_to_passive,The professor avoided the author.,The author was avoided by the professor.
752,active_to_passive,The students recommended the actor.,The actor was recommended by the students.
868,active_to_passive,The doctor supported the secretary.,The secretary was supported by the doctor.
251,active_to_passive,The secretary believed the author.,The author was believed by the secretary.
112,active_to_passive,The actors encouraged the lawyers.,The lawyers were encouraged by the actors.
312,active_to_passive,The secretaries thanked the presidents.,The presidents were thanked by the secretaries.
55,active_to_passive,The managers introduced the scientist.,The scientist was introduced by the managers.
618,active_to_passive,The artists recommended the bankers.,The bankers were recommended by the artists.
133,active_to_passive,The secretary contacted the tourist.,The tourist was contacted by the secretary.
207,active_to_passive,The authors encouraged the students.,The students were encouraged by the authors.
36,active_to_passive,The professors helped the managers.,The managers were helped by the professors.
393,active_to_passive,The presidents encouraged the secretary.,The secretary was encouraged by the presidents.
388,active_to_passive,The scientists introduced the judges.,The judges were introduced by the scientists.
75,active_to_passive,The manager introduced the president.,The president was introduced by the manager.
94,active_to_passive,The actor recommended the professor.,The professor was recommended by the actor.
481,active_to_passive,The tourist contacted the doctors.,The doctors were contacted by the tourist.
245,active_to_passive,The student helped the doctors.,The doctors were helped by the student.
205,active_to_passive,The tourist helped the authors.,The authors were helped by the tourist.
670,active_to_passive,The lawyers advised the professor.,The professor was advised by the lawyers.
346,active_to_passive,The author believed the secretary.,The secretary was believed by the author.
68,active_to_passive,The author thanked the artist.,The artist was thanked by the author.
828,active_to_passive,The actor recognized the secretaries.,The secretaries were recognized by the actor.
733,active_to_passive,The judges helped the lawyer.,The lawyer was helped by the judges.
330,active_to_passive,The secretaries helped the judge.,The judge was helped by the secretaries.
739,active_to_passive,The president introduced the lawyer.,The lawyer was introduced by the president.
737,active_to_passive,The judges recognized the senator.,The senator was recognized by the judges.
597,active_to_passive,The athletes recommended the scientists.,The scientists were recommended by the athletes.
155,active_to_passive,The professors contacted the actor.,The actor was contacted by the professors.
76,active_to_passive,The manager recommended the authors.,The authors were recommended by the manager.
114,active_to_passive,The judges introduced the banker.,The banker was introduced by the judges.
405,active_to_passive,The student recognized the professors.,The professors were recognized by the student.
179,active_to_passive,The judge supported the athletes.,The athletes were supported by the judge.
528,active_to_passive,The artist advised the author.,The author was advised by the artist.
691,active_to_passive,The tourist helped the artists.,The artists were helped by the tourist.
692,active_to_passive,The artists recognized the senator.,The senator was recognized by the artists.
423,active_to_passive,The artist mentioned the author.,The author was mentioned by the artist.
188,active_to_passive,The secretary avoided the artists.,The artists were avoided by the secretary.
631,active_to_passive,The artist avoided the senator.,The senator was avoided by the artist.
7,active_to_passive,The secretaries believed the tourists.,The tourists were believed by the secretaries.
31,active_to_passive,The artist introduced the scientist.,The scientist was introduced by the artist.
131,active_to_passive,The doctor encouraged the lawyers.,The lawyers were encouraged by the doctor.
195,active_to_passive,The manager believed the artist.,The artist was believed by the manager.
734,active_to_passive,The president introduced the judge.,The judge was introduced by the president.
721,active_to_passive,The judge supported the lawyers.,The lawyers were supported by the judge.
463,active_to_passive,The actors encouraged the senators.,The senators were encouraged by the actors.
673,active_to_passive,The students supported the doctors.,The doctors were supported by the students.
370,active_to_passive,The professors advised the tourist.,The tourist was advised by the professors.
79,active_to_passive,The doctors introduced the actor.,The actor was introduced by the doctors.
239,active_to_passive,The students encouraged the athlete.,The athlete was encouraged by the students.
266,active_to_passive,The lawyer helped the banker.,The banker was helped by the lawyer.
801,active_to_passive,The manager stopped the doctor.,The doctor was stopped by the manager.
169,active_to_passive,The judges admired the actors.,The actors were admired by the judges.
139,active_to_passive,The doctor avoided the student.,The student was avoided by the doctor.
174,active_to_passive,The bankers introduced the professors.,The professors were introduced by the bankers.
841,active_to_passive,The secretary stopped the manager.,The manager was stopped by the secretary.
686,active_to_passive,The actors introduced the doctor.,The doctor was introduced by the actors.
327,active_to_passive,The actors advised the lawyer.,The lawyer was advised by the actors.
