task,input,output
active_to_passive,The secretaries encouraged the authors.,The authors were encouraged by the secretaries.
active_to_passive,The judges introduced the banker.,The banker was introduced by the judges.
active_to_passive,The secretary helped the tourist.,The tourist was helped by the secretary.
active_to_passive,The manager recognized the secretaries.,The secretaries were recognized by the manager.
active_to_passive,The tourist encouraged the banker.,The banker was encouraged by the tourist.
active_to_passive,The artists thanked the athlete.,The athlete was thanked by the artists.
active_to_passive,The banker avoided the secretaries.,The secretaries were avoided by the banker.
active_to_passive,The artist stopped the athlete.,The athlete was stopped by the artist.
active_to_passive,The judge recommended the scientists.,The scientists were recommended by the judge.
active_to_passive,The author thanked the secretary.,The secretary was thanked by the author.
active_to_passive,The doctor believed the artists.,The artists were believed by the doctor.
active_to_passive,The lawyers mentioned the author.,The author was mentioned by the lawyers.
active_to_passive,The students recognized the tourist.,The tourist was recognized by the students.
active_to_passive,The doctor advised the athletes.,The athletes were advised by the doctor.
active_to_passive,The athletes thanked the lawyer.,The lawyer was thanked by the athletes.
active_to_passive,The lawyers supported the judge.,The judge was supported by the lawyers.
active_to_passive,The scientist helped the presidents.,The presidents were helped by the scientist.
active_to_passive,The doctor encouraged the judges.,The judges were encouraged by the doctor.
active_to_passive,The doctor encouraged the lawyers.,The lawyers were encouraged by the doctor.
active_to_passive,The senator contacted the actor.,The actor was contacted by the senator.
active_to_passive,The secretary contacted the tourist.,The tourist was contacted by the secretary.
active_to_passive,The judges helped the artists.,The artists were helped by the judges.
active_to_passive,The professor thanked the tourists.,The tourists were thanked by the professor.
active_to_passive,The manager thanked the president.,The president was thanked by the manager.
active_to_passive,The banker avoided the doctors.,The doctors were avoided by the banker.
active_to_passive,The judge recognized the senator.,The senator was recognized by the judge.
active_to_passive,The doctor avoided the student.,The student was avoided by the doctor.
active_to_passive,The artists thanked the scientist.,The scientist was thanked by the artists.
active_to_passive,The doctors believed the banker.,The banker was believed by the doctors.
active_to_passive,The managers contacted the scientist.,The scientist was contacted by the managers.
active_to_passive,The actor advised the senator.,The senator was advised by the actor.
active_to_passive,The professor advised the artists.,The artists were advised by the professor.
active_to_passive,The lawyer thanked the athlete.,The athlete was thanked by the lawyer.
active_to_passive,The judges avoided the secretaries.,The secretaries were avoided by the judges.
active_to_passive,The students stopped the managers.,The managers were stopped by the students.
active_to_passive,The bankers supported the author.,The author was supported by the bankers.
active_to_passive,The doctors mentioned the artists.,The artists were mentioned by the doctors.
active_to_passive,The secretaries introduced the doctors.,The doctors were introduced by the secretaries.
active_to_passive,The actors stopped the athletes.,The athletes were stopped by the actors.
active_to_passive,The author helped the manager.,The manager was helped by the author.
active_to_passive,The managers stopped the doctor.,The doctor was stopped by the managers.
active_to_passive,The doctors stopped the actor.,The actor was stopped by the doctors.
active_to_passive,The professors contacted the actor.,The actor was contacted by the professors.
active_to_passive,The manager recognized the lawyer.,The lawyer was recognized by the manager.
active_to_passive,The scientist believed the author.,The author was believed by the scientist.
active_to_passive,The artist recommended the student.,The student was recommended by the artist.
active_to_passive,The professors encouraged the students.,The students were encouraged by the professors.
active_to_passive,The doctors advised the actor.,The actor was advised by the doctors.
active_to_passive,The president recognized the students.,The students were recognized by the president.
active_to_passive,The judges mentioned the bankers.,The bankers were mentioned by the judges.
active_to_passive,The tourist helped the actor.,The actor was helped by the tourist.
active_to_passive,The managers stopped the actors.,The actors were stopped by the managers.
active_to_passive,The athletes mentioned the tourist.,The tourist was mentioned by the athletes.
active_to_passive,The lawyer supported the banker.,The banker was supported by the lawyer.
active_to_passive,The tourist believed the athlete.,The athlete was believed by the tourist.
active_to_passive,The senators mentioned the artists.,The artists were mentioned by the senators.
active_to_passive,The judges admired the actors.,The actors were admired by the judges.
active_to_passive,The authors recognized the banker.,The banker was recognized by the authors.
active_to_passive,The lawyer supported the athletes.,The athletes were supported by the lawyer.
active_to_passive,The professor admired the athlete.,The athlete was admired by the professor.
active_to_passive,The actors recommended the secretaries.,The secretaries were recommended by the actors.
active_to_passive,The bankers introduced the professors.,The professors were introduced by the bankers.
active_to_passive,The lawyers contacted the scientists.,The scientists were contacted by the lawyers.
active_to_passive,The actors introduced the professor.,The professor was introduced by the actors.
active_to_passive,The secretary helped the manager.,The manager was helped by the secretary.
active_to_passive,The manager stopped the actors.,The actors were stopped by the manager.
active_to_passive,The judge supported the athletes.,The athletes were supported by the judge.
active_to_passive,The actor supported the president.,The president was supported by the actor.
active_to_passive,The senators helped the tourist.,The tourist was helped by the senators.
active_to_passive,The tourists recommended the student.,The student was recommended by the tourists.
active_to_passive,The banker helped the secretaries.,The secretaries were helped by the banker.
active_to_passive,The tourist supported the athlete.,The athlete was supported by the tourist.
active_to_passive,The athletes introduced the doctors.,The doctors were introduced by the athletes.
active_to_passive,The author believed the tourist.,The tourist was believed by the author.
active_to_passive,The senator admired the authors.,The authors were admired by the senator.
active_to_passive,The secretary avoided the artists.,The artists were avoided by the secretary.
active_to_passive,The authors recognized the scientist.,The scientist was recognized by the authors.
active_to_passive,The actor stopped the judge.,The judge was stopped by the actor.
active_to_passive,The secretaries believed the senator.,The senator was believed by the secretaries.
active_to_passive,The doctors avoided the athletes.,The athletes were avoided by the doctors.
active_to_passive,The secretary recognized the tourists.,The tourists were recognized by the secretary.
active_to_passive,The doctors advised the professors.,The professors were advised by the doctors.
active_to_passive,The manager believed the artist.,The artist was believed by the manager.
active_to_passive,The senator recognized the managers.,The managers were recognized by the senator.
active_to_passive,The actors supported the professors.,The professors were supported by the actors.
active_to_passive,The senators recognized the scientists.,The scientists were recognized by the senators.
active_to_passive,The managers avoided the senator.,The senator was avoided by the managers.
active_to_passive,The judge mentioned the tourist.,The tourist was mentioned by the judge.
active_to_passive,The doctors thanked the secretaries.,The secretaries were thanked by the doctors.
active_to_passive,The senators stopped the manager.,The manager was stopped by the senators.
active_to_passive,The actor supported the professor.,The professor was supported by the actor.
active_to_passive,The authors encouraged the athlete.,The athlete was encouraged by the authors.
active_to_passive,The tourist helped the authors.,The authors were helped by the tourist.
active_to_passive,The presidents helped the artist.,The artist was helped by the presidents.
active_to_passive,The authors encouraged the students.,The students were encouraged by the authors.
active_to_passive,The doctor introduced the tourist.,The tourist was introduced by the doctor.
active_to_passive,The professor avoided the doctors.,The doctors were avoided by the professor.
active_to_passive,The author admired the presidents.,The presidents were admired by the author.
active_to_passive,The bankers thanked the professors.,The professors were thanked by the bankers.
active_to_passive,The judges helped the students.,The students were helped by the judges.
active_to_passive,The athlete thanked the student.,The student was thanked by the athlete.
active_to_passive,The judge supported the senator.,The senator was supported by the judge.
active_to_passive,The banker contacted the tourist.,The tourist was contacted by the banker.
active_to_passive,The student contacted the professor.,The professor was contacted by the student.
active_to_passive,The artist thanked the doctor.,The doctor was thanked by the artist.
active_to_passive,The students helped the senator.,The senator was helped by the students.
active_to_passive,The secretary believed the banker.,The banker was believed by the secretary.
active_to_passive,The professor recognized the scientist.,The scientist was recognized by the professor.
active_to_passive,The actors thanked the doctor.,The doctor was thanked by the actors.
active_to_passive,The actors stopped the artists.,The artists were stopped by the actors.
active_to_passive,The bankers stopped the lawyer.,The lawyer was stopped by the bankers.
active_to_passive,The judges mentioned the tourists.,The tourists were mentioned by the judges.
active_to_passive,The manager stopped the doctors.,The doctors were stopped by the manager.
active_to_passive,The manager contacted the actor.,The actor was contacted by the manager.
active_to_passive,The tourist believed the judge.,The judge was believed by the tourist.
active_to_passive,The professor supported the student.,The student was supported by the professor.
active_to_passive,The author believed the actor.,The actor was believed by the author.
active_to_passive,The professor believed the scientist.,The scientist was believed by the professor.
active_to_passive,The secretary recommended the professor.,The professor was recommended by the secretary.
active_to_passive,The athlete encouraged the banker.,The banker was encouraged by the athlete.
active_to_passive,The presidents mentioned the scientists.,The scientists were mentioned by the presidents.
active_to_passive,The senators advised the actor.,The actor was advised by the senators.
active_to_passive,The secretary admired the bankers.,The bankers were admired by the secretary.
active_to_passive,The author introduced the actor.,The actor was introduced by the author.
active_to_passive,The students helped the author.,The author was helped by the students.
active_to_passive,The secretary admired the judge.,The judge was admired by the secretary.
active_to_passive,The students encouraged the athlete.,The athlete was encouraged by the students.
active_to_passive,The artists admired the professor.,The professor was admired by the artists.
active_to_passive,The banker admired the lawyer.,The lawyer was admired by the banker.
active_to_passive,The manager stopped the lawyers.,The lawyers were stopped by the manager.
active_to_passive,The athletes avoided the lawyers.,The lawyers were avoided by the athletes.
active_to_passive,The tourists contacted the scientist.,The scientist was contacted by the tourists.
active_to_passive,The student helped the doctors.,The doctors were helped by the student.
active_to_passive,The managers mentioned the artist.,The artist was mentioned by the managers.
active_to_passive,The managers thanked the professor.,The professor was thanked by the managers.
active_to_passive,The athlete avoided the managers.,The managers were avoided by the athlete.
active_to_passive,The tourists helped the secretaries.,The secretaries were helped by the tourists.
active_to_passive,The judge introduced the professor.,The professor was introduced by the judge.
active_to_passive,The secretary believed the author.,The author was believed by the secretary.
active_to_passive,The artist recognized the secretaries.,The secretaries were recognized by the artist.
active_to_passive,The presidents recommended the artist.,The artist was recommended by the presidents.
active_to_passive,The manager encouraged the secretaries.,The secretaries were encouraged by the manager.
active_to_passive,The doctor supported the professors.,The professors were supported by the doctor.
active_to_passive,The president helped the bankers.,The bankers were helped by the president.
active_to_passive,The doctors admired the presidents.,The presidents were admired by the doctors.
active_to_passive,The authors thanked the senators.,The senators were thanked by the authors.
active_to_passive,The actors helped the scientists.,The scientists were helped by the actors.
active_to_passive,The banker recommended the secretary.,The secretary was recommended by the banker.
active_to_passive,The lawyers avoided the author.,The author was avoided by the lawyers.
active_to_passive,The scientist recognized the student.,The student was recognized by the scientist.
active_to_passive,The judge encouraged the tourists.,The tourists were encouraged by the judge.
active_to_passive,The lawyers introduced the senator.,The senator was introduced by the lawyers.
active_to_passive,The professors believed the senator.,The senator was believed by the professors.
active_to_passive,The lawyer helped the banker.,The banker was helped by the lawyer.
active_to_passive,The judges admired the author.,The author was admired by the judges.
active_to_passive,The doctors contacted the authors.,The authors were contacted by the doctors.
active_to_passive,The artists recognized the banker.,The banker was recognized by the artists.
active_to_passive,The doctor avoided the artist.,The artist was avoided by the doctor.
active_to_passive,The scientist introduced the authors.,The authors were introduced by the scientist.
active_to_passive,The doctor advised the actors.,The actors were advised by the doctor.
active_to_passive,The actor advised the bankers.,The bankers were advised by the actor.
active_to_passive,The secretaries stopped the presidents.,The presidents were stopped by the secretaries.
active_to_passive,The lawyers helped the actor.,The actor was helped by the lawyers.
active_to_passive,The actor stopped the professor.,The professor was stopped by the actor.
active_to_passive,The managers helped the professors.,The professors were helped by the managers.
active_to_passive,The lawyers helped the tourist.,The tourist was helped by the lawyers.
active_to_passive,The doctor advised the bankers.,The bankers were advised by the doctor.
active_to_passive,The professor recommended the bankers.,The bankers were recommended by the professor.
active_to_passive,The bankers recognized the tourists.,The tourists were recognized by the bankers.
active_to_passive,The president advised the judges.,The judges were advised by the president.
active_to_passive,The tourists mentioned the manager.,The manager was mentioned by the tourists.
active_to_passive,The judge recommended the senators.,The senators were recommended by the judge.
active_to_passive,The senator contacted the lawyer.,The lawyer was contacted by the senator.
active_to_passive,The athlete supported the secretaries.,The secretaries were supported by the athlete.
active_to_passive,The judges advised the lawyer.,The lawyer was advised by the judges.
active_to_passive,The secretary recommended the scientists.,The scientists were recommended by the secretary.
active_to_passive,The author introduced the banker.,The banker was introduced by the author.
active_to_passive,The actors stopped the scientist.,The scientist was stopped by the actors.
active_to_passive,The judges mentioned the doctors.,The doctors were mentioned by the judges.
active_to_passive,The judge admired the banker.,The banker was admired by the judge.
active_to_passive,The actors mentioned the artists.,The artists were mentioned by the actors.
active_to_passive,The bankers helped the manager.,The manager was helped by the bankers.
active_to_passive,The tourist mentioned the secretary.,The secretary was mentioned by the tourist.
active_to_passive,The secretary mentioned the manager.,The manager was mentioned by the secretary.
active_to_passive,The manager believed the lawyer.,The lawyer was believed by the manager.
active_to_passive,The actor introduced the bankers.,The bankers were introduced by the actor.
active_to_passive,The student contacted the secretaries.,The secretaries were contacted by the student.
active_to_passive,The banker encouraged the lawyer.,The lawyer was encouraged by the banker.
active_to_passive,The judge avoided the artist.,The artist was avoided by the judge.
active_to_passive,The scientists believed the lawyer.,The lawyer was believed by the scientists.
active_to_passive,The bankers stopped the tourist.,The tourist was stopped by the bankers.
active_to_passive,The judge introduced the bankers.,The bankers were introduced by the judge.
active_to_passive,The doctor recommended the students.,The students were recommended by the doctor.
active_to_passive,The authors avoided the banker.,The banker was avoided by the authors.
active_to_passive,The senators encouraged the lawyers.,The lawyers were encouraged by the senators.
active_to_passive,The judge contacted the banker.,The banker was contacted by the judge.
active_to_passive,The scientists contacted the student.,The student was contacted by the scientists.
active_to_passive,The artists believed the tourists.,The tourists were believed by the artists.
active_to_passive,The tourists advised the judges.,The judges were advised by the tourists.
active_to_passive,The secretaries thanked the presidents.,The presidents were thanked by the secretaries.
active_to_passive,The banker admired the managers.,The managers were admired by the banker.
active_to_passive,The senator introduced the lawyer.,The lawyer was introduced by the senator.
active_to_passive,The secretary recommended the artist.,The artist was recommended by the secretary.
active_to_passive,The secretaries admired the artist.,The artist was admired by the secretaries.
active_to_passive,The managers believed the lawyers.,The lawyers were believed by the managers.
active_to_passive,The tourist recognized the athletes.,The athletes were recognized by the tourist.
active_to_passive,The tourists supported the president.,The president was supported by the tourists.
active_to_passive,The scientists stopped the doctor.,The doctor was stopped by the scientists.
active_to_passive,The managers supported the president.,The president was supported by the managers.
active_to_passive,The banker mentioned the secretaries.,The secretaries were mentioned by the banker.
active_to_passive,The artist contacted the professors.,The professors were contacted by the artist.
active_to_passive,The judge admired the managers.,The managers were admired by the judge.
active_to_passive,The judge stopped the artists.,The artists were stopped by the judge.
active_to_passive,The tourists avoided the secretaries.,The secretaries were avoided by the tourists.
active_to_passive,The actors advised the lawyer.,The lawyer was advised by the actors.
active_to_passive,The secretary introduced the senator.,The senator was introduced by the secretary.
active_to_passive,The managers mentioned the scientists.,The scientists were mentioned by the managers.
active_to_passive,The secretaries helped the judge.,The judge was helped by the secretaries.
active_to_passive,The judge encouraged the actors.,The actors were encouraged by the judge.
active_to_passive,The manager thanked the secretaries.,The secretaries were thanked by the manager.
active_to_passive,The presidents introduced the athletes.,The athletes were introduced by the presidents.
active_to_passive,The lawyer encouraged the senators.,The senators were encouraged by the lawyer.
active_to_passive,The lawyers recommended the athlete.,The athlete was recommended by the lawyers.
active_to_passive,The president encouraged the judges.,The judges were encouraged by the president.
active_to_passive,The doctors advised the author.,The author was advised by the doctors.
active_to_passive,The manager stopped the senator.,The senator was stopped by the manager.
active_to_passive,The professor believed the artist.,The artist was believed by the professor.
active_to_passive,The tourist avoided the judges.,The judges were avoided by the tourist.
active_to_passive,The student recognized the manager.,The manager was recognized by the student.
active_to_passive,The senator thanked the secretary.,The secretary was thanked by the senator.
active_to_passive,The professors supported the banker.,The banker was supported by the professors.
active_to_passive,The judge advised the author.,The author was advised by the judge.
active_to_passive,The presidents contacted the professor.,The professor was contacted by the presidents.
active_to_passive,The author believed the secretary.,The secretary was believed by the author.
active_to_passive,The banker mentioned the judge.,The judge was mentioned by the banker.
active_to_passive,The tourist avoided the bankers.,The bankers were avoided by the tourist.
active_to_passive,The author recommended the tourists.,The tourists were recommended by the author.
active_to_passive,The manager advised the scientist.,The scientist was advised by the manager.
active_to_passive,The actor thanked the senators.,The senators were thanked by the actor.
active_to_passive,The actors admired the tourists.,The tourists were admired by the actors.
active_to_passive,The banker believed the author.,The author was believed by the banker.
active_to_passive,The doctor believed the senator.,The senator was believed by the doctor.
active_to_passive,The judge avoided the managers.,The managers were avoided by the judge.
active_to_passive,The athlete recommended the tourists.,The tourists were recommended by the athlete.
active_to_passive,The manager contacted the president.,The president was contacted by the manager.
active_to_passive,The student avoided the managers.,The managers were avoided by the student.
active_to_passive,The tourist advised the doctors.,The doctors were advised by the tourist.
active_to_passive,The professors mentioned the presidents.,The presidents were mentioned by the professors.
active_to_passive,The artists believed the actor.,The actor was believed by the artists.
active_to_passive,The managers introduced the student.,The student was introduced by the managers.
active_to_passive,The senator helped the judges.,The judges were helped by the senator.
active_to_passive,The artists contacted the doctors.,The doctors were contacted by the artists.
active_to_passive,The actors contacted the senator.,The senator was contacted by the actors.
active_to_passive,The lawyers mentioned the tourists.,The tourists were mentioned by the lawyers.
active_to_passive,The doctors admired the judges.,The judges were admired by the doctors.
active_to_passive,The athletes supported the senators.,The senators were supported by the athletes.
active_to_passive,The author contacted the actors.,The actors were contacted by the author.
active_to_passive,The professors advised the tourist.,The tourist was advised by the professors.
active_to_passive,The author contacted the managers.,The managers were contacted by the author.
active_to_passive,The senators recognized the actor.,The actor was recognized by the senators.
active_to_passive,The author introduced the bankers.,The bankers were introduced by the author.
active_to_passive,The author supported the secretary.,The secretary was supported by the author.
active_to_passive,The professors contacted the banker.,The banker was contacted by the professors.
active_to_passive,The scientist avoided the tourist.,The tourist was avoided by the scientist.
active_to_passive,The banker supported the students.,The students were supported by the banker.
active_to_passive,The senators thanked the professor.,The professor was thanked by the senators.
active_to_passive,The scientists advised the professors.,The professors were advised by the scientists.
active_to_passive,The presidents contacted the actor.,The actor was contacted by the presidents.
active_to_passive,The senators admired the athlete.,The athlete was admired by the senators.
active_to_passive,The bankers recommended the judges.,The judges were recommended by the bankers.
active_to_passive,The actors mentioned the student.,The student was mentioned by the actors.
active_to_passive,The tourist thanked the actors.,The actors were thanked by the tourist.
active_to_passive,The senators mentioned the actor.,The actor was mentioned by the senators.
active_to_passive,The athlete admired the judge.,The judge was admired by the athlete.
active_to_passive,The athlete helped the lawyer.,The lawyer was helped by the athlete.
active_to_passive,The scientists introduced the judges.,The judges were introduced by the scientists.
active_to_passive,The authors encouraged the president.,The president was encouraged by the authors.
active_to_passive,The professor recommended the banker.,The banker was recommended by the professor.
active_to_passive,The secretary encouraged the judge.,The judge was encouraged by the secretary.
active_to_passive,The artist introduced the lawyer.,The lawyer was introduced by the artist.
active_to_passive,The presidents encouraged the secretary.,The secretary was encouraged by the presidents.
active_to_passive,The artists avoided the secretary.,The secretary was avoided by the artists.
active_to_passive,The scientists avoided the lawyer.,The lawyer was avoided by the scientists.
active_to_passive,The secretaries encouraged the judges.,The judges were encouraged by the secretaries.
active_to_passive,The senators supported the artists.,The artists were supported by the senators.
active_to_passive,The judge mentioned the manager.,The manager was mentioned by the judge.
active_to_passive,The author believed the scientists.,The scientists were believed by the author.
active_to_passive,The secretaries recommended the actors.,The actors were recommended by the secretaries.
active_to_passive,The athlete avoided the judge.,The judge was avoided by the athlete.
active_to_passive,The banker mentioned the judges.,The judges were mentioned by the banker.
active_to_passive,The tourists admired the manager.,The manager was admired by the tourists.
active_to_passive,The athletes recognized the doctors.,The doctors were recognized by the athletes.
active_to_passive,The student recognized the professors.,The professors were recognized by the student.
active_to_passive,The author stopped the judge.,The judge was stopped by the author.
active_to_passive,The professor thanked the artist.,The artist was thanked by the professor.
active_to_passive,The banker encouraged the tourist.,The tourist was encouraged by the banker.
active_to_passive,The secretary avoided the doctors.,The doctors were avoided by the secretary.
active_to_passive,The banker mentioned the artists.,The artists were mentioned by the banker.
active_to_passive,The judges helped the presidents.,The presidents were helped by the judges.
active_to_passive,The scientist advised the athletes.,The athletes were advised by the scientist.
active_to_passive,The athlete recognized the secretary.,The secretary was recognized by the athlete.
active_to_passive,The artist recognized the students.,The students were recognized by the artist.
active_to_passive,The students supported the authors.,The authors were supported by the students.
active_to_passive,The student introduced the judge.,The judge was introduced by the student.
active_to_passive,The actors contacted the judges.,The judges were contacted by the actors.
active_to_passive,The athlete stopped the presidents.,The presidents were stopped by the athlete.
active_to_passive,The students introduced the presidents.,The presidents were introduced by the students.
active_to_passive,The athletes avoided the senator.,The senator was avoided by the athletes.
active_to_passive,The secretaries supported the president.,The president was supported by the secretaries.
active_to_passive,The managers believed the actors.,The actors were believed by the managers.
active_to_passive,The artist mentioned the author.,The author was mentioned by the artist.
active_to_passive,The professor supported the managers.,The managers were supported by the professor.
active_to_passive,The doctors encouraged the professors.,The professors were encouraged by the doctors.
active_to_passive,The scientists admired the secretaries.,The secretaries were admired by the scientists.
active_to_passive,The lawyer admired the author.,The author was admired by the lawyer.
active_to_passive,The bankers recognized the doctor.,The doctor was recognized by the bankers.
active_to_passive,The artists believed the athlete.,The athlete was believed by the artists.
active_to_passive,The manager admired the bankers.,The bankers were admired by the manager.
active_to_passive,The student admired the athlete.,The athlete was admired by the student.
active_to_passive,The judge encouraged the artist.,The artist was encouraged by the judge.
